,Attrition,Age,DistanceFromHome,Education,JobLevel,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,PerformanceRating,JobInvolvement,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research_Development,Department_Sales,JobRole_Human_Resources,JobRole_Laboratory_Technician,JobRole_Manager,JobRole_Manufacturing_Director,JobRole_Research_Director,JobRole_Research_Scientist,JobRole_Sales_Executive,JobRole_Sales_Representative,Age_sd,DistanceFromHome_sd,MonthlyIncome_sd,NumCompaniesWorked_sd,PercentSalaryHike_sd,TotalWorkingYears_sd,TrainingTimesLastYear_sd,YearsAtCompany_sd,YearsSinceLastPromotion_sd,YearsWithCurrManager_sd,PerformanceRating_sd,JobInvolvement_sd,EnvironmentSatisfaction_sd,JobSatisfaction_sd,WorkLifeBalance_sd
2858,0,36,3,2,2,44780,0.0,18,1,15.0,3,14,7,8,3,3,4.0,4.0,4.0,0,1,1,0,1,0,0,0,0,0,0,0,-0.1016951429237567,-0.698393591512672,-0.4313903299889947,-1.077717311672973,0.8638646117311953,0.47657226015146215,0.16026171399270664,1.1397840043757472,1.496007123939376,1.0867282297554297,0.03998910974319561,-0.0377479481323154,0.9869564153636615,0.9580522241664822,1.0722787375213743
936,0,40,17,3,3,197170,1.0,21,0,10.0,1,10,9,4,4,3,4.0,3.0,3.0,1,0,1,0,0,0,0,0,0,1,0,0,0.3358087315775535,1.2695644709392995,2.8030732723253604,-0.6768031377250224,1.5846490455604942,-0.16541221650888138,-1.3952830390889681,0.48679807154628685,2.118361038943562,-0.03631939655425154,1.6281804499110304,-0.0377479481323154,0.9869564153636615,-0.0948566558580675,-0.020445992876466822
2361,0,45,19,2,2,54760,4.0,13,1,9.0,3,5,0,3,3,4,3.0,4.0,2.0,0,1,1,0,0,0,0,0,0,0,1,0,0.8826885747041912,1.550701337003867,-0.2195657565189687,0.5259393841188291,-0.3374427779843027,-0.2938091118409501,0.16026171399270664,-0.3294343444905385,-0.6822315785752746,-0.3170813031316719,0.03998910974319561,1.1294725337590612,0.04566222675178887,0.9580522241664822,-1.113170723274308
3588,0,53,1,2,1,39890,1.0,20,0,5.0,2,4,1,3,3,4,4.0,3.0,4.0,0,1,0,1,0,0,1,0,0,0,0,0,1.7576963237068115,-0.9795304575772393,-0.5351801260078751,-0.6768031377250224,1.3443875676173946,-0.8073966931692249,-0.6175106625481307,-0.49268082769790356,-0.3710546210731817,-0.3170813031316719,0.03998910974319561,1.1294725337590612,0.9869564153636615,-0.0948566558580675,1.0722787375213743
233,0,36,8,4,2,41520,9.0,19,1,10.0,3,8,0,5,3,2,2.0,4.0,4.0,0,0,1,0,0,0,0,0,0,1,0,0,-0.1016951429237567,0.004448573648746392,-0.500583527334915,2.5305102538585817,1.104126089674295,-0.16541221650888138,0.16026171399270664,0.1603051051315567,-0.6822315785752746,0.24444251002316877,0.03998910974319561,-1.204968430023692,-0.8956319618600838,0.9580522241664822,1.0722787375213743
1171,0,51,2,1,1,39070,5.0,13,0,16.0,2,10,4,7,3,4,4.0,3.0,3.0,0,1,1,0,0,0,0,1,0,0,0,0,1.5389443864561565,-0.8389620245449556,-0.5525845498801619,0.9268535580667796,-0.3374427779843027,0.6049691554835308,-0.6175106625481307,0.48679807154628685,0.5624762514330971,0.8059663231780094,0.03998910974319561,1.1294725337590612,0.9869564153636615,-0.0948566558580675,-0.020445992876466822
2917,0,45,18,3,2,132120,4.0,13,0,7.0,4,3,0,2,3,2,3.0,2.0,3.0,0,1,1,0,0,0,0,0,0,0,0,1,0.8826885747041912,1.4101329039715833,1.4223930614811529,0.5259393841188291,-0.3374427779843027,-0.5506029025050875,0.938034090533544,-0.6559273109052687,-0.6822315785752746,-0.5978432097090922,0.03998910974319561,-1.204968430023692,0.04566222675178887,-1.1477655358826173,-0.020445992876466822
1924,0,42,6,2,5,40140,8.0,13,1,24.0,3,1,0,1,3,4,2.0,3.0,4.0,0,1,1,0,0,0,1,0,0,0,0,0,0.5545606688282085,-0.27668829241582094,-0.5298738992175439,2.1295960799106313,-0.3374427779843027,1.6321443181400805,0.16026171399270664,-0.9824202773199988,-0.6822315785752746,-0.8786051162865125,0.03998910974319561,1.1294725337590612,-0.8956319618600838,-0.0948566558580675,1.0722787375213743
2502,0,37,1,4,2,133480,7.0,14,0,8.0,4,6,0,4,3,3,4.0,3.0,4.0,0,1,0,1,0,0,0,0,0,0,0,0,0.007680825701570844,-0.9795304575772393,1.4512589352205552,1.7286819059626808,-0.09718130004120312,-0.42220600717301876,0.938034090533544,-0.16618786128317342,-0.6822315785752746,-0.03631939655425154,0.03998910974319561,-0.0377479481323154,0.9869564153636615,-0.0948566558580675,1.0722787375213743
1094,0,51,2,2,2,190490,7.0,14,1,23.0,2,20,15,15,3,2,2.0,4.0,4.0,0,1,1,0,0,0,0,0,0,0,0,1,1.5389443864561565,-0.8389620245449556,2.661290892487708,1.7286819059626808,-0.09718130004120312,1.5037474228080117,-0.6175106625481307,2.1192629036199375,3.9854227839561194,3.0520615757973717,0.03998910974319561,-1.204968430023692,-0.8956319618600838,0.9580522241664822,1.0722787375213743
3756,1,45,14,3,2,43060,2.0,6,2,26.0,3,24,1,11,2,2,3.0,2.0,3.0,0,1,0,0,0,1,0,0,0,0,0,0,0.8826885747041912,0.8478591718424484,-0.46789717030647415,-0.2758889637770719,-2.019273123586,1.8889381088042179,0.16026171399270664,2.7722488364493976,-0.3710546210731817,1.9290139494876908,-1.5482022304246392,-1.204968430023692,0.04566222675178887,-1.1477655358826173,-0.020445992876466822
103,0,30,2,3,2,59680,1.0,13,0,1.0,3,1,0,0,1,4,4.0,2.0,4.0,0,1,1,0,0,0,1,0,0,0,0,0,-0.7579509546757219,-0.8389620245449556,-0.11513921328524845,-0.6768031377250224,-0.3374427779843027,-1.3209842744974998,0.16026171399270664,-0.9824202773199988,-0.6822315785752746,-1.1593670228639328,-3.136393570592474,1.1294725337590612,0.9869564153636615,-1.1477655358826173,1.0722787375213743
2228,0,32,18,3,2,74460,0.0,19,0,7.0,3,6,0,5,3,3,2.0,4.0,4.0,0,1,0,0,0,0,0,0,1,0,0,0,-0.5391990174250668,1.4101329039715833,0.19856491455913874,-1.077717311672973,1.104126089674295,-0.5506029025050875,0.16026171399270664,-0.16618786128317342,-0.6822315785752746,0.24444251002316877,0.03998910974319561,-0.0377479481323154,-0.8956319618600838,0.9580522241664822,1.0722787375213743
2781,0,49,20,2,2,43450,4.0,15,0,29.0,3,26,1,7,3,2,2.0,4.0,4.0,0,1,1,0,0,0,0,0,0,0,1,0,1.3201924492055013,1.6912697700361505,-0.4596194565135573,0.5259393841188291,0.14308017790189648,2.274128794800424,0.16026171399270664,3.098741802864128,-0.3710546210731817,0.8059663231780094,0.03998910974319561,-1.204968430023692,-0.8956319618600838,0.9580522241664822,1.0722787375213743
3725,1,26,25,1,1,135250,8.0,10,1,7.0,4,2,2,2,3,3,2.0,1.0,1.0,0,0,1,0,0,0,0,1,0,0,0,0,-1.1954548291770322,2.394111935197569,1.488827020896101,2.1295960799106313,-1.0582272118136016,-0.5506029025050875,0.938034090533544,-0.8191737941126337,-0.05987766357108876,-0.5978432097090922,0.03998910974319561,-0.0377479481323154,-0.8956319618600838,-2.2006744159071667,-2.205895453672149
1029,0,46,16,3,3,40350,4.0,14,1,14.0,2,9,0,8,3,3,2.0,3.0,3.0,1,0,1,0,0,0,0,0,0,0,1,0,0.9920645433295187,1.1289960379070159,-0.5254166687136655,0.5259393841188291,-0.09718130004120312,0.34817536481939343,-0.6175106625481307,0.3235515883389218,-0.6822315785752746,1.0867282297554297,0.03998910974319561,-0.0377479481323154,-0.8956319618600838,-0.0948566558580675,-0.020445992876466822
744,0,39,8,3,2,26840,4.0,12,0,7.0,2,5,1,0,3,4,4.0,3.0,4.0,0,1,0,1,0,0,0,0,1,0,0,0,0.22643276295222592,0.004448573648746392,-0.8121651644631697,0.5259393841188291,-0.5777042559274024,-0.5506029025050875,-0.6175106625481307,-0.3294343444905385,-0.3710546210731817,-1.1593670228639328,0.03998910974319561,1.1294725337590612,0.9869564153636615,-0.0948566558580675,1.0722787375213743
3321,0,36,9,3,1,131910,1.0,14,1,10.0,2,10,1,7,3,3,2.0,2.0,4.0,0,1,1,0,0,0,0,0,0,0,1,0,-0.1016951429237567,0.14501700668103007,1.4179358309772745,-0.6768031377250224,-0.09718130004120312,-0.16541221650888138,-0.6175106625481307,0.48679807154628685,-0.3710546210731817,0.8059663231780094,0.03998910974319561,-0.0377479481323154,-0.8956319618600838,-1.1477655358826173,1.0722787375213743
3280,0,35,8,1,2,43230,2.0,11,3,15.0,3,7,1,7,3,3,4.0,4.0,3.0,0,0,0,1,0,0,0,0,1,0,0,0,-0.21107111154908423,0.004448573648746392,-0.4642889360890488,-0.2758889637770719,-0.817965733870502,0.47657226015146215,0.16026171399270664,-0.0029413780758083497,-0.3710546210731817,0.8059663231780094,0.03998910974319561,-0.0377479481323154,0.9869564153636615,0.9580522241664822,-0.020445992876466822
1277,0,38,22,4,1,65830,0.0,12,0,12.0,1,11,2,9,3,3,3.0,3.0,4.0,0,1,1,0,0,1,0,0,0,0,0,0,0.11705679432689839,1.972406636100718,0.01539396575690183,-1.077717311672973,-0.5777042559274024,0.09138157415525602,-1.3952830390889681,0.650044554753652,-0.05987766357108876,1.36749013633285,0.03998910974319561,-0.0377479481323154,0.04566222675178887,-0.0948566558580675,1.0722787375213743
1496,0,42,16,2,2,72950,1.0,15,0,10.0,3,9,7,8,3,3,4.0,1.0,3.0,0,1,1,0,0,0,0,0,0,0,0,1,0.5545606688282085,1.1289960379070159,0.1665153047455376,-0.6768031377250224,0.14308017790189648,-0.16541221650888138,0.16026171399270664,0.3235515883389218,1.496007123939376,1.0867282297554297,0.03998910974319561,-0.0377479481323154,0.9869564153636615,-2.2006744159071667,-0.020445992876466822
4191,1,52,6,4,4,14200,1.0,4,1,33.0,2,32,6,9,3,1,3.0,4.0,3.0,0,1,1,0,1,0,0,0,0,0,0,0,1.648320355081484,-0.27668829241582094,-1.0804479909823208,-0.6768031377250224,-2.4997960794721994,2.787716376128699,-0.6175106625481307,4.078220702108318,1.184830166437283,1.36749013633285,0.03998910974319561,-2.3721889119150683,0.04566222675178887,0.9580522241664822,-0.020445992876466822
3445,0,29,23,4,2,21270,0.0,15,1,10.0,3,9,0,8,3,3,4.0,2.0,3.0,0,1,0,1,0,1,0,0,0,0,0,0,-0.8673269233010494,2.1129750691330016,-0.9303878973517513,-1.077717311672973,0.14308017790189648,-0.16541221650888138,0.16026171399270664,0.3235515883389218,-0.6822315785752746,1.0867282297554297,0.03998910974319561,-0.0377479481323154,0.9869564153636615,-1.1477655358826173,-0.020445992876466822
2081,0,43,6,3,1,36000,1.0,23,0,7.0,2,7,7,7,4,3,1.0,4.0,3.0,1,0,0,1,0,0,0,0,1,0,0,0,0.663936637453536,-0.27668829241582094,-0.6177450148654304,-0.6768031377250224,2.0651720014466934,-0.5506029025050875,-0.6175106625481307,-0.0029413780758083497,1.496007123939376,0.8059663231780094,1.6281804499110304,-0.0377479481323154,-1.8369261504719565,0.9580522241664822,-0.020445992876466822
1172,0,41,1,3,2,68830,3.0,19,2,16.0,3,1,0,0,3,4,3.0,3.0,4.0,0,1,1,0,1,0,0,0,0,0,0,0,0.44518470020288103,-0.9795304575772393,0.07906868724087758,0.1250252101708786,1.104126089674295,0.6049691554835308,0.16026171399270664,-0.9824202773199988,-0.6822315785752746,-1.1593670228639328,0.03998910974319561,1.1294725337590612,0.04566222675178887,-0.0948566558580675,1.0722787375213743
1688,0,34,5,2,1,43060,0.0,11,0,14.0,2,13,4,9,3,3,3.0,4.0,2.0,1,0,1,0,0,0,0,0,1,0,0,0,-0.32044708017441176,-0.4172567254481046,-0.46789717030647415,-1.077717311672973,-0.817965733870502,0.34817536481939343,-0.6175106625481307,0.9765375211683821,0.5624762514330971,1.36749013633285,0.03998910974319561,-0.0377479481323154,0.04566222675178887,0.9580522241664822,-1.113170723274308
4298,1,36,1,3,1,54860,7.0,7,1,10.0,2,5,0,3,2,2,3.0,4.0,2.0,0,1,1,0,0,0,0,0,1,0,0,0,-0.1016951429237567,-0.9795304575772393,-0.21744326580283616,1.7286819059626808,-1.7790116456429004,-0.16541221650888138,-0.6175106625481307,-0.3294343444905385,-0.6822315785752746,-0.3170813031316719,-1.5482022304246392,-1.204968430023692,0.04566222675178887,0.9580522241664822,-1.113170723274308
3728,1,36,8,2,1,56600,7.0,3,0,9.0,3,1,0,0,3,4,1.0,2.0,1.0,0,1,1,0,0,0,0,0,0,1,0,0,-0.1016951429237567,0.004448573648746392,-0.18051192734213023,1.7286819059626808,-2.740057557415299,-0.2938091118409501,0.16026171399270664,-0.9824202773199988,-0.6822315785752746,-1.1593670228639328,0.03998910974319561,1.1294725337590612,-1.8369261504719565,-1.1477655358826173,-2.205895453672149
2838,0,44,13,3,1,80200,3.0,11,1,23.0,2,12,11,11,3,2,3.0,3.0,3.0,0,1,1,0,0,0,0,0,0,0,0,0,0.7733126060788637,0.7072907388101647,0.3203958816651457,0.1250252101708786,-0.817965733870502,1.5037474228080117,-0.6175106625481307,0.813291037961017,2.740714953947748,1.9290139494876908,0.03998910974319561,-1.204968430023692,0.04566222675178887,-0.0948566558580675,-0.020445992876466822
517,0,27,5,4,2,37550,1.0,19,0,5.0,2,5,0,3,3,3,2.0,4.0,2.0,0,1,1,0,0,1,0,0,0,0,0,0,-1.0860788605517047,-0.4172567254481046,-0.5848464087653763,-0.6768031377250224,1.104126089674295,-0.8073966931692249,-0.6175106625481307,-0.3294343444905385,-0.6822315785752746,-0.3170813031316719,0.03998910974319561,-0.0377479481323154,-0.8956319618600838,0.9580522241664822,-1.113170723274308
1365,0,35,18,3,1,29660,9.0,18,0,15.0,2,11,6,9,3,3,4.0,3.0,2.0,0,1,1,0,0,0,0,0,0,0,0,1,-0.21107111154908423,1.4101329039715833,-0.7523109262682325,2.5305102538585817,0.8638646117311953,0.47657226015146215,-0.6175106625481307,0.650044554753652,1.184830166437283,1.36749013633285,0.03998910974319561,-0.0377479481323154,0.9869564153636615,-0.0948566558580675,-1.113170723274308
2885,0,43,4,3,2,96990,8.0,19,1,18.0,3,8,0,1,3,2,3.0,1.0,4.0,1,0,1,0,0,1,0,0,0,0,0,0,0.663936637453536,-0.5578251584803883,0.6767620729037966,2.1295960799106313,1.104126089674295,0.8617629461476682,0.16026171399270664,0.1603051051315567,-0.6822315785752746,-0.8786051162865125,0.03998910974319561,-1.204968430023692,0.04566222675178887,-2.2006744159071667,1.0722787375213743
3242,0,39,2,3,2,109760,1.0,11,0,9.0,3,9,5,8,3,3,3.0,3.0,4.0,0,0,1,0,0,0,0,1,0,0,0,0,0.22643276295222592,-0.8389620245449556,0.9478041373539201,-0.6768031377250224,-0.817965733870502,-0.2938091118409501,0.16026171399270664,0.3235515883389218,0.87365320893519,1.0867282297554297,0.03998910974319561,-0.0377479481323154,0.04566222675178887,-0.0948566558580675,1.0722787375213743
3629,0,50,9,2,2,62940,3.0,14,1,32.0,2,7,0,6,4,3,4.0,4.0,2.0,0,1,1,0,0,0,0,0,0,0,1,0,1.4295684178308288,0.14501700668103007,-0.04594601593932814,0.1250252101708786,-0.09718130004120312,2.65931948079663,-0.6175106625481307,-0.0029413780758083497,-0.6822315785752746,0.5252044166005891,1.6281804499110304,-0.0377479481323154,0.9869564153636615,0.9580522241664822,-1.113170723274308
2353,0,50,3,3,2,43740,3.0,15,1,21.0,5,5,4,4,3,2,2.0,2.0,3.0,0,1,1,0,0,0,0,1,0,0,0,0,1.4295684178308288,-0.698393591512672,-0.45346423343677295,0.1250252101708786,0.14308017790189648,1.2469536321438743,1.7158064670743813,-0.3294343444905385,0.5624762514330971,-0.03631939655425154,0.03998910974319561,-1.204968430023692,-0.8956319618600838,-1.1477655358826173,-0.020445992876466822
4310,1,37,11,3,2,54840,4.0,9,0,7.0,4,3,0,2,1,4,1.0,3.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0.007680825701570844,0.4261538727455974,-0.21786776394606266,0.5259393841188291,-1.2984886897567012,-0.5506029025050875,0.938034090533544,-0.6559273109052687,-0.6822315785752746,-0.5978432097090922,-3.136393570592474,1.1294725337590612,-1.8369261504719565,-0.0948566558580675,-1.113170723274308
91,0,37,4,3,4,21440,6.0,19,0,17.0,3,5,0,3,2,4,4.0,3.0,4.0,0,1,1,0,0,0,0,0,0,1,0,0,0.007680825701570844,-0.5578251584803883,-0.926779663134326,1.32776773201473,1.104126089674295,0.7333660508155996,0.16026171399270664,-0.3294343444905385,-0.6822315785752746,-0.3170813031316719,-1.5482022304246392,1.1294725337590612,0.9869564153636615,-0.0948566558580675,1.0722787375213743
3215,0,26,14,2,1,108800,1.0,23,1,7.0,5,7,5,7,4,4,4.0,4.0,2.0,0,0,1,0,1,0,0,0,0,0,0,0,-1.1954548291770322,0.8478591718424484,0.9274282264790479,-0.6768031377250224,2.0651720014466934,-0.5506029025050875,1.7158064670743813,-0.0029413780758083497,0.87365320893519,0.8059663231780094,1.6281804499110304,1.1294725337590612,0.9869564153636615,0.9580522241664822,-1.113170723274308
3830,1,28,30,3,1,187890,3.0,10,1,6.0,4,2,2,2,1,3,3.0,3.0,1.0,0,1,1,0,0,0,0,0,1,0,0,0,-0.976702891926377,3.096954100358987,2.6061061338682623,0.1250252101708786,-1.0582272118136016,-0.6789997978371561,0.938034090533544,-0.8191737941126337,-0.05987766357108876,-0.5978432097090922,-3.136393570592474,-0.0377479481323154,0.04566222675178887,-0.0948566558580675,-2.205895453672149
2895,0,42,17,2,1,22010,4.0,12,1,16.0,3,1,0,0,3,3,4.0,2.0,3.0,0,1,0,1,0,0,0,0,0,0,0,0,0.5545606688282085,1.2695644709392995,-0.9146814660523707,0.5259393841188291,-0.5777042559274024,0.6049691554835308,0.16026171399270664,-0.9824202773199988,-0.6822315785752746,-1.1593670228639328,0.03998910974319561,-0.0377479481323154,0.9869564153636615,-1.1477655358826173,-0.020445992876466822
3399,0,32,1,2,3,136950,0.0,14,0,3.0,3,2,2,2,3,3,4.0,4.0,3.0,0,1,1,0,0,0,0,0,0,0,1,0,-0.5391990174250668,-0.9795304575772393,1.5249093630703539,-1.077717311672973,-0.09718130004120312,-1.0641904838333622,0.16026171399270664,-0.8191737941126337,-0.05987766357108876,-0.5978432097090922,0.03998910974319561,-0.0377479481323154,0.9869564153636615,0.9580522241664822,-0.020445992876466822
3939,1,32,11,1,1,27410,1.0,9,1,1.0,5,1,0,1,3,2,4.0,1.0,2.0,0,1,1,0,0,1,0,0,0,0,0,0,-0.5391990174250668,0.4261538727455974,-0.8000669673812143,-0.6768031377250224,-1.2984886897567012,-1.3209842744974998,1.7158064670743813,-0.9824202773199988,-0.6822315785752746,-0.8786051162865125,0.03998910974319561,-1.204968430023692,0.9869564153636615,-2.2006744159071667,-1.113170723274308
3519,0,34,1,4,4,41980,1.0,14,1,16.0,2,16,2,10,4,2,4.0,3.0,4.0,0,1,1,0,0,1,0,0,0,0,0,0,-0.32044708017441176,-0.9795304575772393,-0.4908200700407054,-0.6768031377250224,-0.09718130004120312,0.6049691554835308,-0.6175106625481307,1.4662769707904773,-0.05987766357108876,1.6482520429102705,1.6281804499110304,-1.204968430023692,0.9869564153636615,-0.0948566558580675,1.0722787375213743
3433,0,27,6,2,1,164220,1.0,18,1,6.0,3,6,0,3,4,4,1.0,4.0,4.0,0,1,1,0,0,1,0,0,0,0,0,0,-1.0860788605517047,-0.27668829241582094,2.1037125813596935,-0.6768031377250224,0.8638646117311953,-0.6789997978371561,0.16026171399270664,-0.16618786128317342,-0.6822315785752746,-0.3170813031316719,1.6281804499110304,1.1294725337590612,-1.8369261504719565,0.9580522241664822,1.0722787375213743
1455,0,27,8,3,1,29560,8.0,13,0,9.0,6,7,0,7,3,4,3.0,4.0,4.0,0,1,1,0,0,1,0,0,0,0,0,0,-1.0860788605517047,0.004448573648746392,-0.7544334169843651,2.1295960799106313,-0.3374427779843027,-0.2938091118409501,2.493578843615219,-0.0029413780758083497,-0.6822315785752746,0.8059663231780094,0.03998910974319561,1.1294725337590612,0.04566222675178887,0.9580522241664822,1.0722787375213743
1915,0,38,2,3,1,27780,2.0,13,0,8.0,5,3,1,2,3,3,2.0,3.0,4.0,0,1,1,0,0,0,0,1,0,0,0,0,0.11705679432689839,-0.8389620245449556,-0.792213751731524,-0.2758889637770719,-0.3374427779843027,-0.42220600717301876,1.7158064670743813,-0.6559273109052687,-0.3710546210731817,-0.5978432097090922,0.03998910974319561,-0.0377479481323154,-0.8956319618600838,-0.0948566558580675,1.0722787375213743
3131,0,32,8,4,5,23800,4.0,13,0,9.0,5,6,1,2,3,3,4.0,4.0,3.0,0,0,1,0,0,0,0,0,0,1,0,0,-0.5391990174250668,0.004448573648746392,-0.8766888822335984,0.5259393841188291,-0.3374427779843027,-0.2938091118409501,1.7158064670743813,-0.16618786128317342,-0.3710546210731817,-0.5978432097090922,0.03998910974319561,-0.0377479481323154,0.9869564153636615,0.9580522241664822,-0.020445992876466822
482,0,30,16,3,3,48100,8.0,18,0,8.0,3,4,0,3,3,4,3.0,4.0,3.0,0,1,0,1,0,0,0,0,0,0,1,0,-0.7579509546757219,1.1289960379070159,-0.36092363821339485,2.1295960799106313,0.8638646117311953,-0.42220600717301876,0.16026171399270664,-0.49268082769790356,-0.6822315785752746,-0.3170813031316719,0.03998910974319561,1.1294725337590612,0.04566222675178887,0.9580522241664822,-0.020445992876466822
3262,0,41,4,3,1,121690,1.0,21,0,5.0,2,5,0,4,3,4,4.0,3.0,3.0,0,1,1,0,0,0,0,0,0,0,0,1,0.44518470020288103,-0.5578251584803883,1.2010172797885303,-0.6768031377250224,1.5846490455604942,-0.8073966931692249,-0.6175106625481307,-0.3294343444905385,-0.6822315785752746,-0.03631939655425154,0.03998910974319561,1.1294725337590612,0.9869564153636615,-0.0948566558580675,-0.020445992876466822
