,Attrition,Age,DistanceFromHome,Education,JobLevel,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,PerformanceRating,JobInvolvement,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance
81,0,32,2,4,2,97150,1.0,18,1,10.0,1,10,0,9,3,4,3.0,4.0,3.0
82,0,23,5,4,3,103220,1.0,14,2,3.0,2,3,1,2,3,4,3.0,4.0,3.0
83,0,50,8,4,3,47870,0.0,12,0,28.0,3,27,15,7,1,4,1.0,4.0,3.0
84,0,30,3,5,3,57720,1.0,17,0,1.0,3,1,0,0,3,4,3.0,4.0,4.0
85,0,37,6,3,1,29290,1.0,12,0,8.0,2,8,1,7,3,4,4.0,3.0,4.0
86,0,19,18,4,2,191970,1.0,12,0,1.0,2,1,0,0,3,3,2.0,4.0,3.0
87,0,40,2,4,4,75960,9.0,11,0,20.0,0,18,2,13,3,3,4.0,3.0,3.0
88,0,38,3,4,1,70820,1.0,14,0,2.0,3,2,2,1,3,4,3.0,3.0,4.0
89,1,33,34,2,5,55610,1.0,16,1,1.0,3,1,0,0,3,2,4.0,2.0,3.0
90,0,50,15,4,3,31950,2.0,11,0,5.0,4,3,0,2,3,3,1.0,4.0,4.0
91,0,36,1,3,2,53090,3.0,13,0,15.0,5,5,0,1,3,2,1.0,3.0,3.0
92,0,29,13,2,4,36460,1.0,19,0,10.0,3,10,8,8,3,3,3.0,3.0,4.0
93,0,38,7,4,1,43120,0.0,12,1,10.0,2,9,1,8,3,4,2.0,3.0,3.0
94,0,40,1,4,2,50710,8.0,17,1,8.0,3,1,0,0,3,4,3.0,1.0,4.0
95,0,42,6,4,2,34450,1.0,11,2,22.0,2,22,11,15,3,3,4.0,2.0,2.0
96,0,38,2,4,1,44900,2.0,21,1,10.0,1,5,0,3,4,3,4.0,2.0,4.0
97,0,44,1,3,1,48340,1.0,14,0,9.0,1,8,6,7,3,4,3.0,2.0,3.0
98,0,45,8,2,1,38330,2.0,14,0,24.0,1,7,0,7,3,3,4.0,3.0,4.0
99,1,58,2,2,1,43850,1.0,4,1,40.0,2,40,15,6,3,3,3.0,4.0,3.0
100,0,49,3,2,2,108450,3.0,24,0,27.0,4,4,1,2,4,2,2.0,3.0,3.0
101,0,32,1,3,2,136640,3.0,14,0,10.0,6,7,7,7,3,4,2.0,4.0,4.0
102,0,46,20,1,5,34330,7.0,18,0,17.0,3,4,0,3,3,4,4.0,4.0,3.0
103,0,34,19,4,2,164130,6.0,16,0,6.0,1,4,1,2,3,3,4.0,4.0,4.0
104,0,26,22,3,5,51510,1.0,15,3,8.0,3,8,7,7,1,4,3.0,2.0,4.0
105,0,49,17,1,1,40110,1.0,18,2,31.0,2,31,0,9,3,4,2.0,2.0,3.0
106,0,27,2,4,1,37080,1.0,16,2,6.0,2,6,4,4,3,4,3.0,4.0,4.0
107,0,40,6,3,2,24040,6.0,17,0,18.0,2,4,3,3,3,4,4.0,2.0,4.0
108,0,45,7,2,1,95250,9.0,13,0,22.0,3,20,11,8,3,4,4.0,3.0,4.0
109,0,52,23,3,2,29420,8.0,11,1,9.0,1,5,1,4,3,4,4.0,3.0,3.0
110,0,36,5,3,2,42000,0.0,22,0,10.0,3,9,0,5,4,3,3.0,2.0,3.0
111,0,38,7,2,3,23720,4.0,12,0,20.0,3,1,0,0,3,4,4.0,4.0,3.0
112,0,34,7,3,2,53680,2.0,13,1,9.0,2,3,1,2,3,4,2.0,2.0,4.0
113,0,46,10,3,3,89430,8.0,12,1,19.0,6,16,1,7,3,4,2.0,3.0,4.0
114,0,34,7,4,2,27410,0.0,15,1,2.0,3,1,0,0,3,3,2.0,2.0,3.0
115,0,41,1,4,2,55610,0.0,11,0,10.0,2,9,1,7,3,4,1.0,3.0,1.0
116,0,40,1,4,2,199430,2.0,14,1,15.0,3,7,7,7,3,4,4.0,3.0,4.0
117,0,22,2,2,1,11020,6.0,19,0,4.0,3,2,2,2,3,4,3.0,4.0,4.0
118,0,32,2,1,3,62090,5.0,17,1,9.0,5,5,1,2,3,3,2.0,2.0,4.0
119,0,39,2,2,1,20080,2.0,12,0,11.0,3,7,7,6,3,3,4.0,2.0,3.0
120,0,41,10,4,1,109200,0.0,15,1,21.0,3,20,0,10,3,3,4.0,1.0,4.0
121,0,44,6,2,1,135030,2.0,12,0,9.0,6,5,1,4,3,3,4.0,3.0,3.0
122,1,31,12,1,1,41890,0.0,18,1,6.0,3,5,1,4,3,2,3.0,4.0,3.0
123,0,27,16,4,2,34850,9.0,17,2,4.0,2,2,2,2,3,4,4.0,3.0,3.0
124,0,24,4,4,1,178610,1.0,11,2,4.0,5,4,1,2,3,4,3.0,3.0,3.0
125,0,19,2,4,3,115570,1.0,22,0,1.0,0,1,0,1,4,4,1.0,2.0,3.0
126,0,37,7,4,2,20860,4.0,14,0,17.0,3,3,1,0,3,3,3.0,4.0,4.0
127,0,40,2,3,2,45770,5.0,11,1,15.0,3,12,11,8,3,3,1.0,3.0,3.0
128,1,39,22,2,2,28360,0.0,11,0,6.0,3,5,0,3,2,4,1.0,4.0,2.0
129,0,56,16,4,3,53210,9.0,14,0,36.0,1,7,7,7,3,3,3.0,4.0,3.0
130,0,35,3,3,2,78980,7.0,15,0,5.0,2,2,2,2,3,2,3.0,2.0,3.0
131,0,34,6,2,1,21770,1.0,13,0,10.0,5,10,8,7,3,3,3.0,4.0,2.0
132,0,22,2,1,1,193310,1.0,17,1,1.0,2,0,0,0,3,3,1.0,4.0,3.0
133,0,47,6,4,2,23660,3.0,17,0,11.0,5,5,1,2,3,4,2.0,3.0,3.0
134,1,28,8,5,2,171230,5.0,11,1,6.0,2,4,0,3,2,2,1.0,2.0,1.0
135,0,37,15,2,2,27030,2.0,14,0,19.0,2,10,4,7,3,2,1.0,1.0,4.0
136,0,34,8,3,3,47390,5.0,24,2,6.0,2,3,1,2,4,4,4.0,4.0,3.0
137,0,26,4,4,2,46820,1.0,11,1,6.0,3,5,1,3,3,4,3.0,4.0,3.0
138,0,49,2,2,1,63800,6.0,23,1,22.0,1,9,2,3,4,2,4.0,3.0,4.0
139,0,34,10,4,1,23410,1.0,20,2,8.0,3,8,0,6,4,4,3.0,2.0,4.0
140,0,40,22,2,1,167040,9.0,12,0,5.0,2,3,0,2,4,3,4.0,4.0,4.0
141,0,35,7,2,1,31400,1.0,13,1,17.0,2,17,5,15,3,3,4.0,2.0,4.0
142,1,20,5,4,2,99240,1.0,21,0,1.0,3,1,1,0,3,4,4.0,3.0,3.0
143,0,31,6,3,2,53430,1.0,14,1,13.0,3,13,0,8,1,3,4.0,4.0,4.0
144,0,42,6,2,5,40140,8.0,13,1,24.0,3,1,0,1,3,3,4.0,4.0,2.0
145,0,36,2,4,1,40250,1.0,11,0,10.0,3,10,9,7,3,3,1.0,3.0,4.0
146,0,34,5,2,1,43060,0.0,11,0,14.0,2,13,4,9,3,3,4.0,1.0,4.0
147,0,32,8,1,1,23420,4.0,12,2,9.0,2,6,0,4,1,3,4.0,4.0,3.0
148,0,37,14,3,3,20640,4.0,16,0,8.0,3,1,0,0,3,3,1.0,3.0,4.0
149,0,44,3,3,1,42620,7.0,18,0,26.0,2,22,3,10,3,3,1.0,3.0,3.0
150,0,30,23,3,1,25460,1.0,14,1,10.0,2,10,8,9,3,4,3.0,3.0,4.0
151,0,31,17,3,2,99800,1.0,12,0,6.0,1,6,0,1,3,3,3.0,4.0,4.0
152,0,34,2,3,2,20440,1.0,11,0,1.0,2,1,0,0,3,2,2.0,3.0,3.0
153,0,29,4,3,2,75530,1.0,19,0,5.0,3,5,0,4,3,3,4.0,3.0,3.0
154,0,34,2,2,2,65860,9.0,18,1,9.0,3,2,2,1,3,3,4.0,4.0,4.0
155,1,33,10,2,4,29040,4.0,7,0,5.0,2,2,2,2,1,1,1.0,4.0,2.0
156,0,37,19,2,4,42570,4.0,15,0,9.0,2,1,0,0,3,4,2.0,3.0,2.0
157,0,38,2,3,2,49070,1.0,11,1,1.0,3,1,0,0,1,2,3.0,3.0,3.0
158,0,38,11,2,1,41710,0.0,23,0,10.0,4,9,7,7,4,3,4.0,4.0,3.0
159,0,34,6,2,1,24390,3.0,11,2,14.0,2,7,5,7,3,3,4.0,4.0,3.0
160,1,28,11,4,1,56730,5.0,11,1,5.0,4,3,2,2,1,1,1.0,3.0,1.0
161,1,29,4,3,3,59160,6.0,7,0,5.0,2,3,0,2,3,2,2.0,1.0,1.0
162,1,39,1,3,2,67550,7.0,9,1,21.0,2,18,11,5,3,3,3.0,2.0,2.0
163,0,59,3,4,1,27600,8.0,24,0,7.0,3,2,2,2,3,4,1.0,4.0,3.0
164,0,43,6,4,4,24390,0.0,15,0,9.0,2,8,1,7,3,4,3.0,2.0,3.0
165,0,37,4,1,1,27050,1.0,11,0,17.0,2,17,5,7,3,3,2.0,4.0,3.0
166,0,36,2,3,2,27200,4.0,14,1,8.0,3,5,0,4,3,4,3.0,4.0,4.0
167,0,42,6,4,2,57140,5.0,11,0,10.0,2,0,0,0,3,3,2.0,4.0,4.0
168,0,47,12,4,3,65530,0.0,15,0,8.0,2,7,7,7,3,3,3.0,4.0,2.0
169,0,36,1,3,5,196360,1.0,12,1,10.0,3,10,9,0,3,3,3.0,4.0,3.0
170,0,30,7,3,1,95820,0.0,12,1,10.0,2,9,0,7,3,3,3.0,4.0,3.0
171,0,36,7,2,2,119350,1.0,11,3,7.0,6,7,1,7,3,3,4.0,2.0,4.0
172,0,38,2,4,2,23680,6.0,11,1,17.0,3,15,4,12,3,4,4.0,3.0,3.0
173,0,46,2,3,1,88370,2.0,18,0,15.0,3,3,1,2,3,3,4.0,3.0,4.0
174,0,32,8,4,1,87400,2.0,11,1,12.0,2,7,0,7,3,3,4.0,4.0,3.0
175,0,21,8,5,3,66870,1.0,19,3,2.0,0,2,1,2,3,3,1.0,4.0,3.0
176,0,29,2,4,4,64990,1.0,18,3,10.0,3,10,2,8,3,4,2.0,4.0,4.0
177,1,31,34,4,2,25930,0.0,17,0,4.0,2,3,1,2,4,3,3.0,2.0,1.0
178,0,34,7,2,2,48760,2.0,21,1,14.0,3,11,5,8,4,3,4.0,4.0,3.0
179,0,43,20,4,2,22200,1.0,11,0,10.0,2,10,8,8,3,2,4.0,3.0,3.0
180,1,55,8,3,4,74280,5.0,6,0,24.0,2,5,1,4,3,2,2.0,1.0,4.0
181,0,36,6,3,2,59150,2.0,13,1,13.0,3,3,0,2,3,4,3.0,3.0,3.0
182,0,27,9,4,4,66320,0.0,16,0,6.0,3,5,1,4,3,4,1.0,1.0,4.0
183,0,50,2,4,4,83760,5.0,14,3,29.0,2,27,13,8,3,3,1.0,4.0,3.0
184,0,51,2,3,2,56750,5.0,13,0,13.0,2,4,1,2,3,3,2.0,4.0,3.0
185,0,35,2,4,2,32940,0.0,11,0,6.0,2,5,0,3,3,3,4.0,4.0,2.0
186,0,23,18,1,2,173280,1.0,17,1,2.0,2,2,0,2,3,4,3.0,3.0,3.0
187,0,26,2,2,3,53040,0.0,20,1,5.0,2,4,1,1,4,3,2.0,3.0,2.0
188,1,21,1,2,5,27910,1.0,9,0,1.0,3,1,1,0,2,3,3.0,4.0,3.0
189,0,36,1,3,2,10510,2.0,14,0,15.0,2,4,1,3,3,3,4.0,2.0,4.0
190,0,27,8,4,3,194190,7.0,14,1,5.0,2,3,0,2,3,3,3.0,3.0,3.0
191,0,30,1,2,3,102210,0.0,19,1,6.0,2,5,1,3,3,3,2.0,4.0,3.0
192,0,59,8,4,3,23080,7.0,19,1,20.0,4,4,1,3,3,4,4.0,4.0,3.0
193,0,27,2,3,1,39040,1.0,15,0,7.0,2,7,0,7,3,2,4.0,3.0,3.0
194,0,51,23,4,5,24510,3.0,17,0,10.0,2,4,0,3,3,1,2.0,1.0,4.0
195,0,36,6,2,5,116310,1.0,18,1,10.0,2,10,0,9,3,4,4.0,4.0,3.0
196,1,58,1,4,2,10090,7.0,10,2,31.0,3,10,5,9,2,2,3.0,3.0,3.0
197,0,46,1,4,1,23400,2.0,13,1,26.0,2,11,0,8,3,4,4.0,4.0,3.0
198,0,45,13,1,2,54840,1.0,20,3,6.0,6,6,0,4,4,4,2.0,1.0,4.0
199,0,36,19,3,3,63970,4.0,14,1,11.0,3,3,0,2,3,3,2.0,4.0,3.0
200,0,27,10,2,4,28560,1.0,12,2,5.0,5,5,0,4,3,1,3.0,4.0,3.0
201,0,58,2,3,1,52060,4.0,16,3,9.0,4,1,0,0,3,3,3.0,3.0,4.0
202,0,31,2,2,3,77560,1.0,15,2,6.0,3,5,0,2,3,3,4.0,2.0,4.0
203,0,34,2,5,2,49990,3.0,12,2,10.0,2,5,4,3,3,4,4.0,4.0,2.0
204,0,55,6,3,3,50930,2.0,16,1,31.0,3,7,0,0,3,4,4.0,4.0,4.0
205,0,19,2,4,3,115570,1.0,22,0,1.0,0,1,0,1,4,3,3.0,4.0,4.0
206,0,43,2,2,1,78610,1.0,14,2,20.0,1,20,1,8,3,3,1.0,1.0,4.0
207,0,31,1,4,3,61420,4.0,13,2,10.0,2,6,0,5,2,2,4.0,2.0,2.0
208,0,31,6,3,1,52580,0.0,14,3,3.0,5,2,2,2,3,2,4.0,4.0,3.0
209,0,49,6,3,2,50940,3.0,15,0,29.0,5,8,0,7,3,4,4.0,3.0,4.0
210,0,29,12,4,1,49680,1.0,14,3,11.0,4,11,4,1,3,3,3.0,4.0,3.0
211,0,27,13,4,3,49980,0.0,20,2,8.0,3,7,7,3,4,2,4.0,4.0,3.0
212,0,48,2,1,2,28190,1.0,20,0,11.0,2,10,0,8,4,3,3.0,4.0,4.0
213,0,29,15,4,1,99500,1.0,20,0,3.0,3,3,1,2,4,3,1.0,3.0,3.0
214,0,55,9,1,1,26930,1.0,18,0,36.0,6,36,2,13,3,4,2.0,1.0,4.0
215,0,26,2,2,2,20800,0.0,13,0,8.0,6,7,7,6,3,3,4.0,4.0,3.0
216,0,36,21,4,1,84740,0.0,14,0,17.0,3,16,4,11,3,4,3.0,3.0,2.0
217,0,25,6,3,2,74840,1.0,15,0,6.0,3,6,1,4,3,2,3.0,4.0,3.0
218,0,53,8,4,2,20700,4.0,13,2,27.0,2,3,0,2,3,4,1.0,1.0,2.0
219,0,27,14,2,1,65160,1.0,19,1,7.0,4,7,0,7,3,2,2.0,4.0,3.0
220,0,18,4,4,2,32300,1.0,12,1,0.0,3,0,0,0,3,4,3.0,4.0,2.0
221,0,45,15,3,3,36810,3.0,17,1,22.0,2,0,0,0,3,2,4.0,3.0,4.0
222,0,59,2,2,5,20660,4.0,12,1,12.0,3,1,0,0,3,3,4.0,2.0,3.0
223,0,38,6,3,2,76250,1.0,15,0,4.0,2,4,0,3,3,2,4.0,3.0,3.0
224,0,29,12,4,1,49680,1.0,19,3,11.0,4,11,4,1,3,3,4.0,4.0,2.0
225,0,39,2,3,3,21150,1.0,18,0,21.0,3,21,11,8,3,3,4.0,3.0,3.0
226,0,35,4,4,3,16750,1.0,16,0,3.0,6,3,0,2,3,4,4.0,4.0,3.0
227,0,26,14,3,2,57690,1.0,19,0,5.0,4,5,4,3,3,4,3.0,4.0,1.0
228,1,58,2,2,1,43850,1.0,11,1,40.0,2,40,15,6,3,3,3.0,3.0,2.0
229,0,35,7,2,1,104960,1.0,13,1,5.0,2,5,0,2,3,2,2.0,3.0,2.0
230,0,37,6,2,1,20110,5.0,13,0,16.0,4,5,0,4,3,3,2.0,3.0,2.0
231,0,38,7,2,3,23720,4.0,18,0,20.0,3,1,0,0,3,3,3.0,4.0,3.0
232,0,34,1,1,2,24760,1.0,19,0,6.0,2,6,1,3,3,4,3.0,1.0,4.0
233,0,38,2,3,1,44480,9.0,12,0,10.0,3,2,1,2,3,4,3.0,3.0,2.0
234,1,37,18,3,2,44850,5.0,10,1,15.0,2,1,0,0,3,1,1.0,2.0,2.0
235,0,54,11,3,3,66740,3.0,17,1,9.0,2,4,2,3,3,4,4.0,4.0,4.0
236,0,22,6,3,2,49070,1.0,21,1,4.0,2,4,1,1,4,3,3.0,4.0,3.0
237,0,55,21,3,1,104480,2.0,13,0,30.0,3,5,1,2,3,3,4.0,4.0,3.0
238,0,54,7,3,1,196130,2.0,17,0,23.0,5,5,4,4,3,4,2.0,2.0,3.0
239,0,25,6,2,1,86330,1.0,19,1,5.0,2,5,1,3,3,4,1.0,4.0,3.0
240,1,32,1,3,2,27430,1.0,13,1,1.0,2,1,0,0,3,1,2.0,2.0,1.0
241,0,48,2,3,1,54150,7.0,11,1,27.0,1,15,4,8,3,3,3.0,3.0,2.0
242,0,26,7,3,1,162910,1.0,22,0,5.0,3,5,3,3,4,2,3.0,4.0,3.0
243,0,35,4,1,1,51630,2.0,18,2,16.0,4,1,0,0,3,3,3.0,2.0,3.0
244,0,32,14,4,4,193280,1.0,15,3,5.0,2,5,0,3,3,2,2.0,1.0,4.0
245,0,34,1,4,4,41980,1.0,22,1,16.0,2,16,2,10,4,4,2.0,3.0,3.0
246,0,27,2,3,2,31610,0.0,13,2,4.0,0,3,2,2,3,4,2.0,4.0,3.0
247,0,42,3,4,1,89260,1.0,14,0,20.0,4,20,11,6,3,2,4.0,2.0,2.0
248,0,47,22,3,1,54410,9.0,22,1,28.0,6,22,11,13,4,3,3.0,3.0,3.0
249,0,46,2,3,1,88370,2.0,18,0,15.0,3,3,1,2,3,3,3.0,3.0,3.0
250,1,34,20,1,1,20010,9.0,14,1,11.0,5,3,0,2,2,1,1.0,3.0,3.0
251,1,39,12,4,4,66960,7.0,4,0,8.0,3,2,2,2,1,3,3.0,3.0,1.0
252,0,40,21,4,1,34820,0.0,18,1,21.0,2,20,1,12,3,3,3.0,4.0,4.0
253,0,27,2,3,1,23670,1.0,12,1,5.0,2,5,0,4,3,3,1.0,3.0,3.0
254,0,40,2,3,5,24550,1.0,15,1,8.0,2,7,7,5,3,4,4.0,4.0,3.0
255,0,37,19,1,2,32910,1.0,16,3,5.0,2,5,0,3,3,2,4.0,1.0,4.0
256,0,31,13,3,3,22790,3.0,12,1,8.0,3,6,0,2,3,3,2.0,3.0,3.0
257,0,28,7,3,1,46480,0.0,23,2,9.0,2,8,0,7,4,3,3.0,3.0,4.0
258,0,38,15,3,2,64740,2.0,13,2,20.0,3,4,0,3,3,4,4.0,2.0,2.0
259,0,34,1,3,1,62320,1.0,14,1,8.0,3,8,1,7,3,3,4.0,4.0,2.0
260,0,31,2,2,3,42850,1.0,21,1,1.0,2,1,1,0,4,2,4.0,4.0,4.0
261,0,27,4,4,4,44000,9.0,17,1,6.0,3,2,2,2,3,3,2.0,2.0,3.0
262,0,36,1,3,2,23050,1.0,18,0,8.0,3,8,1,7,3,4,1.0,3.0,2.0
263,1,36,12,3,3,22320,1.0,7,1,16.0,2,16,3,7,3,2,3.0,3.0,3.0
264,1,20,1,3,5,61620,1.0,4,3,1.0,2,1,1,1,1,2,3.0,3.0,3.0
265,0,31,6,3,1,52580,0.0,14,3,3.0,5,2,2,2,3,4,1.0,4.0,3.0
266,0,36,2,4,1,79180,2.0,12,2,8.0,3,6,0,1,3,4,4.0,4.0,3.0
